Klinik_Name,Title,Department,Date,Review,Rating
HEH Herzogin Elisabeth Hospital,Ein angenehmer Aufenthalt,Verstoß melden,13.04.2021,['Die Mitarbeiter waren sehr kompetent und sehr freundlich und hilfsbereit.'],"['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Die neuen Kopfkissen sind sehr schlecht,Chirurgie,06.04.2021,"['Alles in allem wieder eine gute Erfahrung, jeder Zeit wieder, man fühlt sich gut aufgehoben. Wenn wieder ein Aufenthalt notwendig wird, bringe ich mein eigenes Kopfkissen mit!!! Damit ich schlafen kann.']","['', '', 'Gesamtzufriedenheit:', 'zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'weniger zufrieden (Das gekaufte wlan ist Samstagabend zusammengebrochen und dafür habe ich 7€ bezahlt)', '', '', '']"
HEH Herzogin Elisabeth Hospital,Warum in die Ferne schweifen.. Das Gute liegt so nah.,Orthopädie,31.03.2021,"['Ich habe mich in der Klinik rundum gut aufgehoben gefühlt. Von der vorstationären Aufnahme bis zur Entlassung war ich von freundlichem und kompetentem Fachpersonal umgeben. Es gab zwar Verschiebungen im Ablauf, diese waren für mich nur nebensächlich und haben den Heilungsprozess nicht verzögert. Darauf kommt es doch an. Meine Bedürfnisse wurden berücksichtigt und schnellstmöglich abgestellt, obwohl es aufgrund von krankheitsbedingtem Personalmangel zu Unterbesetzungen im Pflegebereich kam. HUT AB vor dem Personal. Die Räumlichkeiten waren durchweg in einem Topzustand und die Verpflegung echt super. Kein Kantinenessen wie es anderswo zum Überleben der Kundschaft hingestellt wird. Da in ca. 6 Monaten auch das andere Knie operiert werden muss, werde ich mich rechtzeitig um eine Aufnahme im HEH bemühen.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden (Wie gesagt, jeder Zeit wieder)', '', 'Qualität der Beratung:', 'sehr zufrieden (Nachfragen wurden beantwortet)', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden (Es gab keine langen Wartezeiten. Hier wird dir geholfen)', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden (fast ****Hotel Charakter)', '', '', '']"
HEH Herzogin Elisabeth Hospital,sehr zu empfehlende Klinik,Orthopädie,24.03.2021,"['sehr freundliche Klinik.', 'das personal war sehr hilfsbereit und sehr freundlich. lag auf Station 4 der Orthopädie.', 'beratung der Ärzte vor OP sehr gut.', 'Schwestern sehr hilfsbereit und kompetent', 'würde jederzeit diese Klinik bei Bedarf wieder', 'aufsuchen.Weiterempfehen würde ich die Klinik jederzeit.', 'Danke nochmals']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Phantastisch,Verstoß melden,23.03.2021,"['Nach einer Lungenembolie phantastische Fürsorge und Betreuung auf der ITS.', 'Vier Nächte auf Station E mit tollen Ärzten, Pflegern und Schwestern, die alles in ihrer Macht und Kraft stehende getan haben.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'zufrieden (Nicht zutreffend)', '', 'Mediz. Behandlung:', 'sehr zufrieden (Pfleger und Schwester hatten zuviel „um die Ohren“)', '', 'Verwaltung und Abläufe:', 'zufrieden (nicht zutreffend)', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Unzumutbar,Diabetes,17.03.2021,"['Als Privatpatient Unterbringung im 3-Bett Zimmer!', '', 'Inakzeptables Verhalten des medizinische Personal auf der Station und der ""Servicekräfte"" in der Cafeteria!', '', 'Desolate, veraltete und defekte ""Ausstattung"" des Zimmers.']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'unzufrieden', '', 'Mediz. Behandlung:', 'unzufrieden', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'unzufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,"Wenn schon OP, dann HEH",Schmerztherapie,17.03.2021,"['Aufgrund meiner Rheumaerkrankung bin ich ständiger Gast der Klinik. Ob Rheumathologie, Orthopädie oder jetzt die Schmerztherapie, ich fühle sehr gut aufgehoben. Alle Ärtze nehmen sich viel Zeit und mich als Patienten ernst.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden (Personal, Ärzte und Prof`s. , alle nett)', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden (Sehr sauberes Krankenhaus)', '', '', '']"
HEH Herzogin Elisabeth Hospital,Klinikaufenthalt,Chirurgie,04.03.2021,"['Die Aufnahme auf Station war sehr freundlich. Die Schwester hat alles genau erklärt und hat mich gut auf die OP vorbereitet. ', 'Im Einleitungsraum zur OP wurde man durch ein kleines Gespräch nett von der bevorstehenden OP abgelenkt.', 'Die Schwestern im Aufwachraum waren sehr fürsorglich.', 'Zurück im Zimmer wie auch schon im Aufwachraum waren alle bemüht, dass ich keine Schmerzen habe. Dies war während des gesamten Klinikaufenthaltes so. ', 'Das Stationspersonal war sehr freundlich und es war sehr schön, dass auch Späße gemacht und gelacht wurde. Dies lockerte den Klinikaufenthalt auf.', 'Es ist schon mein 2. Aufenthalt in Ihrer Klinik und ich würde immer wieder kommen!', 'Ein sehr angenehmes und freundliches Klima in jeder Beziehung. ', 'Dafür 5*****!!!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Tolles Team,Chirurgie,27.02.2021,"['Station 2', 'Ist ein tolles Team. ', 'Freundlich zuvorkommend hilfsbereit und haben eine hohe Fachkompetenz. ', 'Und das Essen ist auch klasse.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Kompetentes unf freundliches Krankenhaus,Chirurgie,25.01.2021,"['Am 15.01.2021 war ich zur vorstationären Aufnahme im HEH. Bereits im Vorfeld war mit mitgeteilt worden, dass es bis zu 5 Stunden dauern kann. Ich wurde von den ""Grünen Damen"" empfangen und zu den verschiedenen Bereichen begleitet. Neben dem Verwaltungskram, EKG, Blutabnahme, gab es Gespräche mit dem Narkosearzt und einem Arzt der Chirurgie. Die beiden Arztgespräche waren sehr umfassend und man hatte auch nicht das Gefühl, dass man mit den Gesprächen schnell fertig werden wollte. Auf Fragen erhielt man auch die passenden Antworten. ', 'Am 19.01.2021 habe ich mich dann um 08.30h auf Station 2 melden müssen und wurde freundlichst empfangen und zu meinem Zimmer begleitet. Es wurde genau dokumentiert, wer ich bin und ich erhielt ein Armband mit meinen Personalien. Um 14.30 h wurde ich dann zu meiner OP abgeholt und im Vorraum der Anästhesie wurde ich nochmals gefragt, wer ich bin und was bei mir gemacht werden soll. Anschliessend wurde mir vom Narkoseteam alles erklärt und ich bin dann wieder im Aufwachraum aufgewacht. Da war es 16.45 h und ich hatte auch kaum Schmerzen. Geg. 18.00 h wurde ich dann wieder auf mein Zimmer gebracht. Am nächsten Morgen durfte ich dann schon wieder ganz normal essen. Am 21.01.2021 wurde ich dann nach der Visite bereits entlassen.', '', 'Bei diesem Krankenhaus stimmt einfach alles. Personal ist stets freundich, die Ärzte erklären einem alles. Kurz gesagt, man kann dieses Krankenhaus jederzeit weiterempfehlen.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Kassenpatienten sollten sich das gut überlegen,Orthopädie,06.01.2021,"['Bewerten kann ich nur das Pflegepersonal und das Zeitmanagement/Kommunikation. Das Personal war freundlich, Zeitmanagement/Kommunikation war unterirdisch.', 'Operiert werden sollte eine Bandscheibe, um eine Fußhebeschwäche zu beseitigen. Sollte!', 'Es war ein Operationstermin am 4.1.21 vereinbart, einchecken in der Klinik um 7 Uhr (nüchtern, zum Frühstück nur ein Glas Wasser).', 'Ich war pünktlich in der Klinik.', 'Auf der Station wurde ich kurz eingewiesen und gebeten, mich baldigst für die OP umzuziehen. Etwa gegen 9 Uhr erschien der Operateur und teilte mir u.a. mit, dass die OP um ca. 14 Uhr stattfinden soll.', 'Anschließend wurde ich auf die OP weiter vorbereitet (rasieren, Kompressionsstrümpfe). Gegen 12 Uhr vergewisserte sich eine Schwester bei mir, ob ich OP-klar war.', 'Ungefähr um 15 Uhr erfuhr ich während der Medikamentenverteilung eher zufällig, dass meine OP auf ca. 17:45 Uhr verschoben war. Grund war eine andere vorgezogene OP, die nun auch noch etwas länger als gedacht dauern würde.', 'Ich war deshalb etwas angefressen, zumal ich um 7 Uhr erscheinen musste und den ganzen Tag in ständiger Erwartung meiner OP nichts essen und trinken durfte.', 'Etwa 30 Minuten später erschien ein Arzt am Bett und teilte mir mit, dass die OP ausfällt und bot mir den Mittwoch als Ersatztag an. Da war dann das Maß voll.', 'Am Mittwoch noch einmal das gleiche Spiel? Verarschung 2.0? Geht man mit den Privatpatienten auch so um?', 'Ich fühle mich in dieser Klinik als unterprivilegierter Kassenpatient deplatziert und habe deshalb auf die weitere Behandlung verzichtet. Empfehlen kann ich dieses Haus deshalb nicht.']","['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'weniger zufrieden (Theorie und Praxis sind nicht übereinstimmend)', '', 'Mediz. Behandlung:', 'weniger zufrieden (Es gab keine OP)', '', 'Verwaltung und Abläufe:', 'unzufrieden (ein sinnloser Klinikaufenthalt)', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Unerträglich lange Wartezeiten,Chirurgie,05.01.2021,"['Hiermit meine ich ausschließlich die Chirurgische Ambulanz: Termine werden viel zu eng belegt, deshalb unerträglich lange Wartezeiten. 4 - 5 Stunden für 2. Kurzgespräche (Anästhesie und OP-Besprechung) die ca.10-15 Minuten dauerten. Schon im Vorfeld ausgefüllte Fragebögen wurden praktisch nicht gebraucht. Ein ganzer Stapel neuer Fragebögen musste nochmals ausgefüllt werden, ganz viele wiedeholungsfragen. Im Prinzip nichts Neues oder wichtiges erfahren, da schon bei der Erstuntersuchung alles erklärt wurde. Bis auf den Corona Test hätte man auch alles telefonisch und per Fax abwickeln können. Hier wird wertvolle Arbeitszeit der Ärzte verschwendet.']","['', '', 'Gesamtzufriedenheit:', 'weniger zufrieden', '', 'Qualität der Beratung:', 'zufrieden', '', 'Mediz. Behandlung:', 'weniger zufrieden', '', 'Verwaltung und Abläufe:', 'weniger zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Rakotomanana,Verstoß melden,11.12.2020,"['Die Klinik ist sehr gut eingerichtet und ausgestattet! Sehr sauber und man wird sich nicht verlaufen, einfach die Hinweise folgen!', 'Hygiene Maßnahmen gut respektiert! Das Zimmer sieht nett aus, mit Gut ausgestattetem Pflegebett!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden (Gut organisiert)', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Gut aufgehoben,Orthopädie,10.12.2020,"['Gut organisiert, tolle Mitarbeite und tolle Betreuung.  Ärzte Team außerordentlich kompetent.  Kann man nur weiterempfehlen.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,HÜFTE ?   IMMER WIEDER HIER!!!,Orthopädie,22.11.2020,"['Ich war nicht nur mit der medizinischen Versorgung sehr zufrieden, sondern auch mit der therapeutischen Behandlung nach der OP und vor allem auch mit der überaus freundlichen und persönlichen Betreuung auf Station 6!!!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Mein Dank und Anerkennung an ALLE Abteilungen im HEH Braundchweig,Orthopädie,07.11.2020,"['Meinen Lendenwirbel wieder richtig zu positionieren u. dauerhaft zu fixieren, war ein etwas größerer Eingriff. Vom Rücken aus wurden das Hauptsystem installiert.  4 Schrauben 6,5x55 Titan wurden in die Wirbel geschraubt u. mit Querstangen neu ausgerichtet. Vom rechten Beckenkamm wurde ein Knochenspan abgeschlagen u. dann von vorn, durch den Bauch, zwischen die Wirbel gedübelt u. mit einer Platte und 4 weiteren Schrauben fixiert. Die Wirbel sollen so für immer unzerstörbar zusammen wachsen.', 'Nach einem ganzen Tag OP hatte ich drei Narben mit 38 Klammern, 4 Drainageschläuche, je 2 Zugänge an den Armen, einen am Hals, Blasenkatheder, Sauerstoff unter der Nase und 3 Elektroden auf Brust und Rücken.', 'Ich war mit meinen 52 Jahren so richtig am Arsch.  ', '', 'Doch es umsorgten mich in meiner Hilflosigkeit und absoluten Schwäche, sehr kompetent und liebevoll, viele Abteilungen.', 'Als ich z.B. auf der Intensivstation aufwachte, wurde mir jeder Wunsch von den Augen abgelesen. Besonders hier möchte ich möchte mich für die freundliche und WÜRDEVOLLE Zuwendung, ein Leben lang bedanken.  ', 'Ich erinner mich trotz der gut eingestellten Schmerzmittel an euch. ', 'Aber auch den Anästhesisten, dem OP Team, den Pflegern auf der Station, den Physiotherapeuten gildet mein tiefer Dank.', '', 'Erstaunlich und unvorstellbar schnell erholte ich mich. ', 'Das „Gesund werden“ hat richtig Spaß gemacht. Ich habe es genossen, wie alles funktionierte. Neben Kompetenz und routinierter Perfektion, war ich auch dankbar für ein gefühlvolles Maß an Motivation. ', 'Und natürlich danke an die beiden Operateure.  ', 'Sie suchten vor und nach der OP täglich das Gespräch mit mir, so dass keine Fragen offen blieben.', '', 'Wären des ganzen Aufenthalts wurde mir überall mit viel Respekt begegnet. ', 'Ich ließ so manche heimliche Träne dort. Doch nicht aus Schmerz oder Verzweiflung sondern vor Freude und Glück.', '', 'Ich kann nun wieder völlig schmerzfrei gehen, ... bis ans Ende dieser fantastischen und liebenswerten Welt. ', 'DANKE Euch allen im HEH/BS']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Weiter zu Empfehlen.,Chirurgie,07.11.2020,"['Auf Station 2 durchgehend, nettes Personal, immer ein nettes Wort und ein Lächeln auf den Lippen! Danke dafür.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Nie wieder!,Orthopädie,05.11.2020,"['Nach zwei  erfolglosen Versuchen, meine Beschwerden, Wirbelgleiten und Bandscheibenvorwölbung in der L W S,  zu lindern, wurde ich beim 3 Termin mit den Worten: Was wollen sie den schon wieder hier! empfangen. Nachdem ich meine Beschwerden nochmals geschildert hatte, meinte der untersuchende Arzt (Oberarzt): Und was wollen sie da von mir? ', 'Letztendlich wurde mir mitgeteilt, das man mich aufgrund einer vorliegenden chronischen Lungenerkrankung nicht operieren würde, wenn ich nicht eine Freigabe von meinem Lungenfacharzt vorlege und hat mich mit unerträglichen Schmerzen nach Hause geschickt! Mein Lungenarzt, den ich um eine entsprechende Aussage bat, meinte dazu lapidar: Da will wohl jemand seine Verantwortung abwälzen, diese Entscheidung muss grundsätzlich vom Narkosearzt, der die Narkose machen soll, getroffen werden', 'Eine Narkose bei einem Lungenkranken ist immer ein Risiko.', 'Fazit: Ich soll mir eine andere Klinik suchen, die auch in problematischen Fällen helfen kann und vor allem auch HELFEN WILL.', 'Ich hatte eigentlich nur Gutes von diesem Haus gehört, aber eine derartige Behandlung muss man sich glaube ich nicht antun!']","['', '', 'Gesamtzufriedenheit:', 'weniger zufrieden', '', 'Qualität der Beratung:', 'unzufrieden', '', 'Mediz. Behandlung:', 'unzufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
